mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_p,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.06043601036071777,0.007826906768075485,0.07940611839294434,0.00553595291119678,1,1,"{'n_neighbors': 1, 'p': 1}",0.9618097530352611,0.9608302450971106,0.9629519349201909,0.9634834004819817,0.962205858458503,0.9622562383986095,0.0009192676044521704,50,0.9850776966908354,0.9852406043273068,0.985033364675918,0.9848704814018723,0.9850839986028603,0.9850612291397585,0.00011842821830140154
0.06079859733581543,0.011347235185625635,0.08759689331054688,0.02475980869826399,1,2,"{'n_neighbors': 1, 'p': 2}",0.961249502756182,0.9608302450971106,0.9622902441021038,0.9636341646199053,0.962205858458503,0.962042003006761,0.0009715827017419372,52,0.9850776966908354,0.9852406043273068,0.985033364675918,0.9848704814018723,0.9850839986028603,0.9850612291397585,0.00011842821830140154
0.0510310173034668,0.004428979857138395,0.0659970760345459,0.005061521222246979,2,1,"{'n_neighbors': 2, 'p': 1}",0.971093374601961,0.9684409781800299,0.9711195540903542,0.9725833541543928,0.9709709338069905,0.9708416389667457,0.0013382128985656026,18,0.9865491728348788,0.9865573766958554,0.9861378876565963,0.9861948331528122,0.986428724330655,0.9863735989341595,0.00017615690766911165
0.06457839012145997,0.0038439539177607795,0.09686813354492188,0.01158794229658353,2,2,"{'n_neighbors': 2, 'p': 2}",0.971108290451827,0.9688032801917262,0.9712086288079879,0.9722397707525172,0.9714785723821274,0.9709677085172371,0.001152534603556767,16,0.9865120941538591,0.9865203683855056,0.986235462409317,0.9861988748227903,0.9864898545890893,0.9863913308721122,0.00014302145398696804
0.05383296012878418,0.0054542230677596115,0.07638654708862305,0.008677684482299754,3,1,"{'n_neighbors': 3, 'p': 1}",0.9734978143737256,0.9701861477218426,0.9729499929774644,0.974565813375513,0.974037789633994,0.9730475116165079,0.0015287626747881305,8,0.9851474876501896,0.9853526170031005,0.9850420232127468,0.9851861454815495,0.9850232982680444,0.985150314323126,0.00011838773513703763
0.05779452323913574,0.011487993401894925,0.0838226318359375,0.014728289266549266,3,2,"{'n_neighbors': 3, 'p': 2}",0.9737314156852678,0.9710850742757721,0.9726403008853957,0.9742261807246951,0.9745153300387036,0.9732396603219667,0.001252505635372381,6,0.9851895847206098,0.985512185927067,0.9850514257176084,0.9851907627049521,0.9850082667123071,0.9851904451565089,0.00017665409961292885
0.051993703842163085,0.00467915104075505,0.07260117530822754,0.005969345538555165,4,1,"{'n_neighbors': 4, 'p': 1}",0.9741295206876537,0.9708663341917204,0.9731610890789179,0.9750437560263986,0.974674673488591,0.9735750746946563,0.0014954739665581347,3,0.9834438004541955,0.9840600125781004,0.9837133074652915,0.9833946472568029,0.9835551082904538,0.9836333752089688,0.00023977653916380022
0.05368447303771973,0.007710186239045776,0.07938714027404785,0.010516637495761719,4,2,"{'n_neighbors': 4, 'p': 2}",0.9743997130053552,0.971389816334924,0.9733446030014794,0.9745670561415538,0.9750477105996558,0.9737497798165936,0.0013044979068695104,1,0.9836067075037477,0.984153994009529,0.9838865204910472,0.9835185918061407,0.9837119422531587,0.9837755512127246,0.00022543982151104438
0.04921107292175293,0.00445128083139275,0.08580808639526367,0.009990661824691273,5,1,"{'n_neighbors': 5, 'p': 1}",0.9741113400674538,0.9708958896954603,0.9732336956436565,0.974936301981506,0.9740766085892651,0.9734507671954683,0.0013863164623255638,5,0.9822923490462472,0.9826090135778154,0.9824397730719096,0.9821725953537898,0.9823714778995687,0.9823770417898661,0.00014611521965384805
0.06020269393920898,0.007368604430904012,0.09920210838317871,0.03201052470040325,5,2,"{'n_neighbors': 5, 'p': 2}",0.9744527483928088,0.9714214898168939,0.9736155901446275,0.9743427506077857,0.9743577425818093,0.9736380643087852,0.001148210548599963,2,0.9824536310840892,0.9827028231867725,0.9827441372588759,0.9823987793520745,0.9824368567434799,0.9825472455250583,0.0001455763132153757
0.051801443099975586,0.004351818938245458,0.07961072921752929,0.004363155641706069,6,1,"{'n_neighbors': 6, 'p': 1}",0.9740606585897248,0.9706124902586254,0.9729032398435797,0.9739973801809396,0.9736727874010694,0.9730493112547878,0.0012860648545163877,7,0.9810635303053472,0.9813554432263559,0.9812993974506339,0.9810289104180928,0.9811214169255924,0.9811737396652044,0.00013012712712861515
0.05119719505310059,0.007783996515691854,0.08840475082397461,0.008635166491907565,6,2,"{'n_neighbors': 6, 'p': 2}",0.9742894537254783,0.9713084824840592,0.9735801197569246,0.9738190045779771,0.9744399631890895,0.9734874047467057,0.0011328642370895506,4,0.981287698856346,0.9815285573979734,0.9817016285007569,0.9813446177365486,0.9812462421363126,0.9814217489255876,0.000169977587250912
0.053800010681152345,0.005279170817749677,0.10222196578979492,0.016446616339858736,7,1,"{'n_neighbors': 7, 'p': 1}",0.9735791486323226,0.9698741338472315,0.9719305688396075,0.973331982084807,0.973463886429232,0.9724359439666401,0.0014131342491195379,11,0.9800841504434946,0.9802942453294196,0.9802582228811401,0.979816025267035,0.9797969538967001,0.9800499195635579,0.00021116594217610474
0.060993623733520505,0.01249183080010634,0.11581587791442871,0.026009382535473295,7,2,"{'n_neighbors': 7, 'p': 2}",0.9739927245369766,0.9708724892458455,0.9728646430857928,0.9733949439493622,0.9739538836527536,0.9730157368941461,0.001148456530002234,9,0.9804251348394295,0.9806168319037342,0.9806146566146731,0.9802282687211558,0.9800525675774581,0.98038749193129,0.00022051936799546984
