mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_p,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.05260744094848633,0.004131283438519569,0.06740665435791016,0.010294257131324393,1,1,"{'n_neighbors': 1, 'p': 1}",0.9618097530352611,0.9608302450971106,0.9629519349201909,0.9634834004819817,0.962205858458503,0.9622562383986095,0.0009192676044521704,50,0.9850776966908354,0.9852406043273068,0.985033364675918,0.9848704814018723,0.9850839986028603,0.9850612291397585,0.00011842821830140154
0.05210404396057129,0.004992793034979234,0.06959571838378906,0.015550889807333414,1,2,"{'n_neighbors': 1, 'p': 2}",0.961249502756182,0.9608302450971106,0.9622902441021038,0.9636341646199053,0.962205858458503,0.962042003006761,0.0009715827017419372,52,0.9850776966908354,0.9852406043273068,0.985033364675918,0.9848704814018723,0.9850839986028603,0.9850612291397585,0.00011842821830140154
0.049809741973876956,0.004697033973747403,0.0634040355682373,0.004421782159802972,2,1,"{'n_neighbors': 2, 'p': 1}",0.971093374601961,0.9684409781800299,0.9711195540903542,0.9725833541543928,0.9709709338069905,0.9708416389667457,0.0013382128985656026,18,0.9865491728348788,0.9865573766958554,0.9861378876565963,0.9861948331528122,0.986428724330655,0.9863735989341595,0.00017615690766911165
0.0569216251373291,0.010042120815326589,0.08380513191223145,0.015062517868836304,2,2,"{'n_neighbors': 2, 'p': 2}",0.971108290451827,0.9688032801917262,0.9712086288079879,0.9722397707525172,0.9714785723821274,0.9709677085172371,0.001152534603556767,16,0.9865120941538591,0.9865203683855056,0.986235462409317,0.9861988748227903,0.9864898545890893,0.9863913308721122,0.00014302145398696804
0.07042856216430664,0.013075462006930478,0.11020021438598633,0.05952010800447796,3,1,"{'n_neighbors': 3, 'p': 1}",0.9734978143737256,0.9701861477218426,0.9729499929774644,0.974565813375513,0.974037789633994,0.9730475116165079,0.0015287626747881305,8,0.9851474876501896,0.9853526170031005,0.9850420232127468,0.9851861454815495,0.9850232982680444,0.985150314323126,0.00011838773513703763
0.057404947280883786,0.010454980383424772,0.10581369400024414,0.04121324532383869,3,2,"{'n_neighbors': 3, 'p': 2}",0.9737314156852678,0.9710850742757721,0.9726403008853957,0.9742261807246951,0.9745153300387036,0.9732396603219667,0.001252505635372381,6,0.9851895847206098,0.985512185927067,0.9850514257176084,0.9851907627049521,0.9850082667123071,0.9851904451565089,0.00017665409961292885
0.06761202812194825,0.012233871096808386,0.10960793495178223,0.03440030360471413,4,1,"{'n_neighbors': 4, 'p': 1}",0.9741295206876537,0.9708663341917204,0.9731610890789179,0.9750437560263986,0.974674673488591,0.9735750746946563,0.0014954739665581347,3,0.9834438004541955,0.9840600125781004,0.9837133074652915,0.9833946472568029,0.9835551082904538,0.9836333752089688,0.00023977653916380022
0.057016181945800784,0.007305426223981846,0.08939285278320312,0.015187456034243747,4,2,"{'n_neighbors': 4, 'p': 2}",0.9743997130053552,0.971389816334924,0.9733446030014794,0.9745670561415538,0.9750477105996558,0.9737497798165936,0.0013044979068695104,1,0.9836067075037477,0.984153994009529,0.9838865204910472,0.9835185918061407,0.9837119422531587,0.9837755512127246,0.00022543982151104438
0.05860700607299805,0.00723357900401865,0.08659939765930176,0.014548573566748454,5,1,"{'n_neighbors': 5, 'p': 1}",0.9741113400674538,0.9708958896954603,0.9732336956436565,0.974936301981506,0.9740766085892651,0.9734507671954683,0.0013863164623255638,5,0.9822923490462472,0.9826090135778154,0.9824397730719096,0.9821725953537898,0.9823714778995687,0.9823770417898661,0.00014611521965384805
0.04900527000427246,0.004802354793024873,0.07819905281066894,0.00724894897321017,5,2,"{'n_neighbors': 5, 'p': 2}",0.9744527483928088,0.9714214898168939,0.9736155901446275,0.9743427506077857,0.9743577425818093,0.9736380643087852,0.001148210548599963,2,0.9824536310840892,0.9827028231867725,0.9827441372588759,0.9823987793520745,0.9824368567434799,0.9825472455250583,0.0001455763132153757
0.050404930114746095,0.00475362118861586,0.08039326667785644,0.008009489556558872,6,1,"{'n_neighbors': 6, 'p': 1}",0.9740606585897248,0.9706124902586254,0.9729032398435797,0.9739973801809396,0.9736727874010694,0.9730493112547878,0.0012860648545163877,7,0.9810635303053472,0.9813554432263559,0.9812993974506339,0.9810289104180928,0.9811214169255924,0.9811737396652044,0.00013012712712861515
0.06118593215942383,0.01692111790288098,0.0996314525604248,0.02049898392099261,6,2,"{'n_neighbors': 6, 'p': 2}",0.9742894537254783,0.9713084824840592,0.9735801197569246,0.9738190045779771,0.9744399631890895,0.9734874047467057,0.0011328642370895506,4,0.981287698856346,0.9815285573979734,0.9817016285007569,0.9813446177365486,0.9812462421363126,0.9814217489255876,0.000169977587250912
0.05740971565246582,0.009624668113427801,0.09482941627502442,0.017921729662501062,7,1,"{'n_neighbors': 7, 'p': 1}",0.9735791486323226,0.9698741338472315,0.9719305688396075,0.973331982084807,0.973463886429232,0.9724359439666401,0.0014131342491195379,11,0.9800841504434946,0.9802942453294196,0.9802582228811401,0.979816025267035,0.9797969538967001,0.9800499195635579,0.00021116594217610474
0.05020895004272461,0.003923449302889228,0.08479642868041992,0.008811740943705963,7,2,"{'n_neighbors': 7, 'p': 2}",0.9739927245369766,0.9708724892458455,0.9728646430857928,0.9733949439493622,0.9739538836527536,0.9730157368941461,0.001148456530002234,9,0.9804251348394295,0.9806168319037342,0.9806146566146731,0.9802282687211558,0.9800525675774581,0.98038749193129,0.00022051936799546984
0.06264710426330566,0.004365130717420866,0.1066070556640625,0.0049615084892072545,8,1,"{'n_neighbors': 8, 'p': 1}",0.9733500635435347,0.9697698624210914,0.9710585998196393,0.9724907752437509,0.9730231393731257,0.9719384880802284,0.0013379966687083924,13,0.9789513800468593,0.9790200902201704,0.9790016057579196,0.9787576820020458,0.9786846511479614,0.9788830818349913,0.00013607624283318585
0.06258516311645508,0.007621883034569895,0.10240812301635742,0.0050006309394758615,8,2,"{'n_neighbors': 8, 'p': 2}",0.9737015238225896,0.9707531279283097,0.9722126397594716,0.9726975109443584,0.9733801683266103,0.9725489941562679,0.0010372562035009208,10,0.9794260007865166,0.9794246279934329,0.9793524142794466,0.9792651610409393,0.9790444255111411,0.9793025259222953,0.0001418842927504867
0.04658360481262207,0.002153978332556587,0.08422622680664063,0.00858453702634966,9,1,"{'n_neighbors': 9, 'p': 1}",0.9732256329616479,0.9693683079318312,0.9704568149732801,0.9718955235013489,0.9724465754914364,0.9714785709719088,0.0013899858399764385,14,0.9778159795160662,0.977907189196934,0.9777697230999457,0.9775855699591686,0.9774424955644212,0.9777041914673072,0.0001676632629621961
0.053222942352294925,0.006478399590303287,0.11839241981506347,0.05481977041403817,9,2,"{'n_neighbors': 9, 'p': 2}",0.9734707440838775,0.9704517999388063,0.9714058748030009,0.9721436704188949,0.9731067234205193,0.9721157625330198,0.0011037635107200897,12,0.9784713237182451,0.9784595027773076,0.978171342373703,0.9782491260158838,0.9778870461605648,0.9782476682091408,0.00021483560752262989
0.05940146446228027,0.007828720645526184,0.1084181785583496,0.016874363878835705,10,1,"{'n_neighbors': 10, 'p': 1}",0.9727036569761455,0.9687653806723064,0.9696321329529749,0.9711146639880018,0.9712936164741873,0.9707018902127231,0.0013727375661877598,19,0.9768345124226333,0.9768415523740276,0.9764763412134437,0.9764907902725604,0.9763798212796087,0.9766046035124548,0.00019438857636511602
0.05182003974914551,0.00604819843198265,0.10118017196655274,0.010506077944565862,10,2,"{'n_neighbors': 10, 'p': 2}",0.9730832920352773,0.9698416684783729,0.9705524620144044,0.971565704349873,0.9722490161845949,0.9714584286125045,0.0011585686638112568,15,0.9774426131926068,0.9774240633953015,0.9769397402048549,0.9773118229196986,0.97685343721634,0.9771943353857603,0.00024869676975208354
0.054200601577758786,0.0031162395633443974,0.09784812927246093,0.01203245874316469,11,1,"{'n_neighbors': 11, 'p': 1}",0.9722168249104938,0.9677771809708916,0.9687865691250559,0.9701953479018975,0.970462532300685,0.9698876910418047,0.0015176746706536271,21,0.9757346071821869,0.975715839573614,0.9753796220879035,0.975458082893075,0.9754593753179149,0.9755495054109389,0.0001464729144098457
